id,urlkey,article_title,image_url,image_alt,article_url,bw_ratio
1,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/breakpoint_2xl_2x/public/media/image/banner-gates-building-composite_v3_0.jpg?itok=Zh7iFV-L,Gates building front: composited in Photoshop,https://www.cs.stanford.edu/,0.013050909090909
2,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/stanford_circle/public/media/image/dec23_wwa_tpulappadi_main-bn_web_0.jpg.png?itok=NLaMP6R1,Tamish Pulappadi,https://www.cs.stanford.edu/,0.2450510204081632
3,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/responsive_large/public/media/image/home_grad-1_0.jpg?itok=DC6q8Yl7,Group of graduating students sitting and smiling together in their graduation gowns.,https://www.cs.stanford.edu/,0.0128344903348684
4,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/home_card_0.jpg?h=c9a3a702&itok=9mm7K00u,Karen Lui in the lab,https://www.cs.stanford.edu/,9.362880886426592e-05
5,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/home-faculty_0.jpg?h=06ac0d8c&itok=MvBfIpqY,"Oussama Khatib posing next to the diving robot, OceanOne.",https://www.cs.stanford.edu/,0.0128
6,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/responsive_large/public/media/image/home_2023curis_groupshot09122023_0.jpg?itok=IwUGmkIM,2023 CURIS Cohort,https://www.cs.stanford.edu/,0.0165923357664233
7,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/home_news_classroom_0.jpg?h=c9a3a702&itok=gA1FsOiF,young students using technology,https://www.cs.stanford.edu/,0.1213235457063711
8,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/ai-1024x683_0.jpg?h=199d8c1f&itok=hI1FCPCR,illustration of hands,https://www.cs.stanford.edu/,0.0296072022160664
9,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/sisle2023_composite_0.jpg?h=c9a3a702&itok=9vLpX6ou,SISL team members,https://www.cs.stanford.edu/,0.0119313019390581
10,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/neil_band_0.jpg?h=41f55a5b&itok=VsUAVvD6,,https://www.cs.stanford.edu/,0.0105717451523545
11,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/20210516-kendall-beache-webl_0.jpg?h=7f412c8f&itok=B2YOaXL5,Kendall Beache student spotlight,https://www.cs.stanford.edu/,0.0011229916897506
12,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/spotlight_dorsa_1.jpg?h=0538beb7&itok=qHnFXGbQ,,https://www.cs.stanford.edu/,0.0122614958448753
13,"edu,stanford,cs)/",Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/home_grad-2_0.jpg?h=4fc93d24&itok=KdU9ekik,,https://www.cs.stanford.edu/,0.0079185595567867
14,"edu,stanford,cs)/academics/academics-bachelors-program",Academics | Bachelor's Program | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/sail_030819_0095-min_0.jpg?h=2992ba0a&itok=fxQxA_3M,,https://www.cs.stanford.edu/academics/academics-bachelors-program,0.0129562326869806
15,"edu,stanford,cs)/academics/academics-bachelors-program",Academics | Bachelor's Program | Computer Science,https://www.cs.stanford.edu/sites/g/files/sbiybj28076/files/styles/card_1900x950/public/media/image/stanford_soe-544_0.jpg?h=6acbff97&itok=gPFBYD1O,,https://www.cs.stanford.edu/academics/academics-bachelors-program,0.0103224376731301
